author,gender,note
Alan Hollinghurst,M,
Alice Walker,F,
Arundhati Roy,F,
Bram Stoker,M,
Charles Dickens,M,
Charlotte Brontë,F,
Chimamanda Ngozi Adichie,F,
Chinua Achebe,M,
Cormac McCarthy,M,
DH Lawrence,M,
Daphne du Maurier,F,
Doris Lessing,F,
EL Doctorow,M,
EM Forster,M,
Edith Wharton,F,
Edward P Jones,M,
Elena Ferrante,F,pen name; identified as a woman in her writing/voice
Emily Brontë,F,
Ernest Hemingway,M,
F Scott Fitzgerald,M,
Ford Madox Ford,M,
Franz Kafka,M,
Fyodor Dostoevsky,M,Guardian listed Crime and Punishment as 'Dostoevsky' and Brothers Karamazov as 'Dostoyevsky'; merged here
Gabriel García Márquez,M,
George Eliot,F,Mary Ann Evans
George Orwell,M,Eric Blair
Giuseppe Tomasi di Lampedusa,M,
Graham Greene,M,
Gustave Flaubert,M,
Han Kang,F,
Henry James,M,
Herman Melville,M,
Hilary Mantel,F,
Italo Calvino,M,
JM Coetzee,M,
James Baldwin,M,
James Joyce,M,
Jane Austen,F,
Jean Rhys,F,
Joseph Conrad,M,
Joseph Heller,M,
Juan Rulfo,M,
Kazuo Ishiguro,M,
LP Hartley,M,Leslie Poles Hartley
Laurence Sterne,M,
Leo Tolstoy,M,
Marcel Proust,M,
Margaret Atwood,F,
Marilynne Robinson,F,
Mary Shelley,F,
Miguel de Cervantes,M,
Mikhail Bulgakov,M,
Muriel Spark,F,
Octavia E Butler,F,
Patricia Highsmith,F,
Ralph Ellison,M,
Robert Musil,M,
Rohinton Mistry,M,
Salman Rushdie,M,
Shirley Hazzard,F,
Thomas Hardy,M,
Thomas Mann,M,
Toni Morrison,F,
Tsitsi Dangarembga,F,
Ursula K Le Guin,F,
VS Naipaul,M,
Vasily Grossman,M,
Virginia Woolf,F,
Vladimir Nabokov,M,
WG Sebald,M,Winfried Georg Sebald
Willa Cather,F,
William Faulkner,M,
William Makepeace Thackeray,M,
Zadie Smith,F,
Zora Neale Hurston,F,
