author,gender,note
A. S. Byatt,F,British novelist (Possession)
Abdulrazak Gurnah,M,Tanzanian-British novelist; Nobel laureate
Adania Shibli,F,Palestinian novelist (Minor Detail)
Agatha Christie,F,British crime novelist
Ahmadou Kourouma,M,Ivorian novelist (Suns of Independence)
Ahmet Hamdi Tanpınar,M,Turkish novelist (A Mind at Peace)
Akhil Sharma,M,Indian-American novelist (Family Life)
Akwaeke Emezi,NB,Nigerian non-binary trans writer (Freshwater)
Alan Burns,M,British experimental novelist
Alan Moore,M,British graphic novelist (Watchmen)
Alan Paton,M,South African novelist (Cry the Beloved Country)
Alan Warner,M,Scottish novelist (Morvern Callar)
Alasdair Gray,M,Scottish novelist (Lanark)
Albert Camus,M,French-Algerian novelist (The Stranger)
Alberto Moravia,M,Italian novelist
Aldous Huxley,M,British novelist (Brave New World)
Alessandro Manzoni,M,Italian novelist (The Betrothed)
Alexander Pushkin,M,Russian poet/novelist
Alexandre Dumas,M,French novelist (Count of Monte Cristo)
Alexis Wright,F,Aboriginal Australian novelist (Carpentaria)
Alfred Döblin,M,German novelist (Berlin Alexanderplatz)
Ali Smith,F,Scottish novelist
Alice Munro,F,Canadian short story writer; Nobel laureate
Alison Bechdel,F,American cartoonist (Fun Home)
Amos Tutuola,M,Nigerian novelist (Palm-Wine Drinkard)
Anders Nilsen,M,American cartoonist
Andrea Levy,F,British novelist (Small Island)
Angela Carter,F,British novelist (Nights at the Circus)
Anita Brookner,F,British novelist (Hotel du Lac)
Ann Patchett,F,American novelist (Bel Canto)
Ann Petry,F,American novelist (The Street)
Anna Burns,F,Northern Irish novelist (Milkman)
Anna Kavan,F,British novelist (Ice); born Helen Woods
Anne Brontë,F,British novelist (Tenant of Wildfell Hall)
Anne Enright,F,Irish novelist (The Gathering)
Annie Ernaux,F,French memoirist; Nobel laureate
Annie Proulx,F,American novelist (The Shipping News)
Anonymous,unknown,unattributed author
Antal Szerb,M,Hungarian novelist (Journey by Moonlight)
Anthony Powell,M,British novelist (Dance to the Music of Time)
Anthony Trollope,M,British Victorian novelist
Antonia Barber,F,British children's author (The Mousehole Cat)
Armistead Maupin,M,American novelist (Tales of the City)
Art Spiegelman,M,American cartoonist (Maus)
Arthur Conan Doyle,M,British novelist (Sherlock Holmes)
