rank,year,canonicity,note
1,1871,-3,"Eliot's Middlemarch — central Victorian canon"
2,1987,0,"Morrison; now thoroughly canonical but represents canon expansion"
3,1922,-2,"Joyce — peak high modernism"
4,1927,-2,"Woolf — modernist canon"
5,1913,-2,"Proust — modernist canon"
6,1877,-3,"Tolstoy — Russian canon"
7,1869,-3,"Tolstoy — Russian canon"
8,1847,-3,"Brontë — Victorian canon"
9,1813,-3,"Austen — Regency canon"
10,1856,-3,"Flaubert — French realist canon"
11,1925,-2,"Fitzgerald — American modernist canon"
12,1853,-3,"Dickens — Victorian canon"
13,1815,-3,"Austen — Regency canon"
14,1925,-2,"Woolf — modernist canon"
15,1851,-3,"Melville — American canon"
16,1949,-1,"Orwell — 20th-century canon"
17,1967,0,"García Márquez — Latin American boom, established"
18,1817,-3,"Austen — Regency canon"
19,1759,-3,"Sterne — 18th-c. canon"
20,1847,-3,"Brontë — Victorian canon"
21,1881,-3,"James — late Victorian canon"
22,1958,1,"Achebe — first major African novelist canonized in English"
23,1981,1,"Rushdie — post-colonial canon"
24,1989,0,"Ishiguro — contemporary literary"
25,1955,-1,"Nabokov — 20th-c. canon"
26,1605,-3,"Cervantes — early modern canon"
27,1925,-2,"Kafka — modernist canon (posthumous)"
28,1880,-3,"Dostoyevsky — Russian canon"
29,1962,-1,"Nabokov — 20th-c. canon"
30,1818,-3,"Shelley — Romantic canon"
31,1961,-1,"Spark — 20th-c. literary"
32,1997,2,"Roy — post-colonial Indian female voice"
33,1850,-3,"Dickens — Victorian canon"
34,2009,1,"Mantel — contemporary literary; female author of male subject"
35,1861,-3,"Dickens — Victorian canon"
36,1985,0,"Atwood — established feminist dystopia"
37,1952,-1,"Ellison — mid-century American canon (Black male)"
38,1920,-2,"Wharton — early 20th-c. canon"
39,1937,0,"Hurston — Black female voice, recanonized after 1970s"
40,1977,0,"Morrison early-period"
41,1899,-3,"Conrad — late Victorian canon"
42,1924,-2,"Mann — modernist canon"
43,1980,0,"Robinson — late 20th-c. literary"
44,1956,-1,"Baldwin — mid-century, gay male voice"
45,1962,-1,"Lessing — 1960s feminist landmark"
46,1958,-1,"Lampedusa — mid-century European"
47,1848,-3,"Thackeray — Victorian canon"
48,1915,-2,"Kafka — modernist canon"
49,1995,1,"Mistry — post-colonial Indian"
50,1966,0,"Rhys — postcolonial feminist re-vision of Jane Eyre"
51,2011,1,"Ferrante — very contemporary white European female"
52,1904,-2,"Late James"
53,1980,0,"Hazzard — late 20th c."
54,1928,-2,"Woolf — modernist"
55,1931,-2,"Woolf — modernist"
56,1814,-3,"Austen — Regency canon"
57,1929,-2,"Faulkner — modernist canon"
58,1999,1,"Coetzee — post-apartheid"
59,2005,1,"Ishiguro — contemporary"
60,1910,-2,"Forster — Edwardian canon"
61,1995,1,"Sebald — contemporary literary essayistic"
62,2006,2,"Adichie — Nigerian female contemporary"
63,2000,1,"Smith — diverse contemporary British"
64,1915,-2,"Ford — modernist"
65,1982,0,"Walker — Black American feminist 1980s"
66,1967,-1,"Bulgakov — Soviet, posthumous publication"
67,1930,-2,"Musil — modernist canon"
68,1985,0,"McCarthy — late 20th-c. American"
69,1866,-3,"Dostoyevsky — Russian canon"
70,1895,-3,"Hardy — late Victorian canon"
71,1979,1,"Butler — Black female speculative; genre + identity"
72,1865,-3,"Dickens — Victorian canon"
73,2001,1,"Sebald — contemporary"
74,1988,2,"Dangarembga — Zimbabwean female"
75,1970,0,"Morrison — early-period"
76,1897,-2,"Stoker — gothic late Victorian"
77,1915,-2,"Lawrence — early 20th-c."
78,1961,0,"Naipaul — mid-century Trinidadian"
79,1953,-1,"Baldwin — Harlem mid-century"
80,1938,-1,"du Maurier — mid-20th c. middle-brow gothic"
81,1901,-2,"Mann — early 20th c."
82,1951,-1,"Greene — mid-century Catholic literary"
83,1929,-2,"Hemingway — modernist American"
84,1955,-1,"Highsmith — mid-century crime"
85,2007,3,"Han Kang — Korean female very contemporary"
86,1898,-2,"James — late Victorian"
87,2004,1,"Hollinghurst — contemporary gay British"
88,1975,0,"Doctorow — late 20th-c. American"
89,1969,0,"Le Guin — feminist SF"
90,1922,-2,"Woolf — modernist"
91,1980,-1,"Grossman — Soviet WWII (written 1959, published 1980)"
92,1869,-3,"Flaubert — French canon"
93,1972,0,"Calvino — postmodern"
94,2003,1,"Jones — contemporary Black American"
95,1878,-3,"Hardy — Victorian canon"
96,1955,0,"Rulfo — Mexican mid-century, magical realism precursor"
97,1961,-1,"Heller — mid-century American"
98,2006,0,"McCarthy — contemporary"
99,1953,-1,"Hartley — mid-20th c. British"
100,1918,-2,"Cather — early 20th-c. American"
