voter,rank,title,author
Freya Johnston,1,Middlemarch,George Eliot
Merve Emre,1,Middlemarch,George Eliot
Sarah Moss,1,Middlemarch,George Eliot
Eimear McBride,1,Middlemarch,George Eliot
Sam Leith,1,Middlemarch,George Eliot
Sandra Newman,1,Middlemarch,George Eliot
Chris Power,1,Middlemarch,George Eliot
Esi Edugyan,1,Middlemarch,George Eliot
Rishi Dastidar,1,Middlemarch,George Eliot
Chloe Aridjis,1,Middlemarch,George Eliot
Blake Morrison,1,Middlemarch,George Eliot
Elif Batuman,1,Middlemarch,George Eliot
Andrew Solomon,1,Middlemarch,George Eliot
John Mullan,1,Middlemarch,George Eliot
Charlotte Mendelson,1,Middlemarch,George Eliot
Lara Feigel,1,Middlemarch,George Eliot
Siri Hustvedt,1,Middlemarch,George Eliot
Geoff Dyer,1,Middlemarch,George Eliot
Adam Roberts,1,Middlemarch,George Eliot
Lorrie Moore,1,Middlemarch,George Eliot
Claire Armitstead,1,Middlemarch,George Eliot
Yiyun Li,1,Middlemarch,George Eliot
Sarah Bakewell,1,Middlemarch,George Eliot
Katherine Rundell,1,Middlemarch,George Eliot
Kathryn Hughes,1,Middlemarch,George Eliot
Maya Jasanoff,1,Middlemarch,George Eliot
Melissa Broder,1,Middlemarch,George Eliot
Ahdaf Soueif,1,Middlemarch,George Eliot
Richard Osman,1,Middlemarch,George Eliot
Ben Markovits,1,Middlemarch,George Eliot
Alex Needham,1,Middlemarch,George Eliot
Tessa Hadley,1,Middlemarch,George Eliot
Jennifer Egan,1,Middlemarch,George Eliot
Xan Brooks,1,Middlemarch,George Eliot
Charlotte Higgins,1,Middlemarch,George Eliot
Justine Jordan,1,Middlemarch,George Eliot
Kieran Goddard,1,Middlemarch,George Eliot
Alex Clark,1,Middlemarch,George Eliot
Houman Barekat,1,Middlemarch,George Eliot
Ian McEwan,1,Middlemarch,George Eliot
Stuart Kelly,1,Middlemarch,George Eliot
Dinah Birch,1,Middlemarch,George Eliot
Marcel Theroux,1,Middlemarch,George Eliot
Sarah Crown,1,Middlemarch,George Eliot
Lisa Allardice,1,Middlemarch,George Eliot
Clare Clark,1,Middlemarch,George Eliot
Aida Edemariam,1,Middlemarch,George Eliot
James Meek,1,Middlemarch,George Eliot
John Lanchester,1,Middlemarch,George Eliot
Tom Crewe,1,Middlemarch,George Eliot
Michael Donkor,1,Middlemarch,George Eliot
Charlotte Northedge,1,Middlemarch,George Eliot
Elizabeth Day,1,Middlemarch,George Eliot
Jem Calder,1,Middlemarch,George Eliot
Lily King,1,Middlemarch,George Eliot
Lauren Elkin,1,Middlemarch,George Eliot
Merve Emre,2,Beloved,Toni Morrison
Kit de Waal,2,Beloved,Toni Morrison
Imogen Russell Williams,2,Beloved,Toni Morrison
Salman Rushdie,2,Beloved,Toni Morrison
Yael van der Wouden,2,Beloved,Toni Morrison
Esi Edugyan,2,Beloved,Toni Morrison
Fiona Sturges,2,Beloved,Toni Morrison
Jude Cook,2,Beloved,Toni Morrison
Nadifa Mohamed,2,Beloved,Toni Morrison
Anne Enright,2,Beloved,Toni Morrison
Jan Carson,2,Beloved,Toni Morrison
Roxane Gay,2,Beloved,Toni Morrison
Bernardine Evaristo,2,Beloved,Toni Morrison
Katharine Viner,2,Beloved,Toni Morrison
