rank,title,author,author_gender,vote_count,handcoded_score,protagonist_gender,setting,violence,tag_score,keyword_m_hits,keyword_f_hits,keyword_raw_diff,keyword_norm
1,Middlemarch,George Eliot,F,56,1,mixed,mixed,none,0,1,2,1,0.009259259259259259
2,Beloved,Toni Morrison,F,43,2,F,domestic,high,2,7,3,-4,-0.039603960396039604
3,Ulysses,James Joyce,M,36,-1,M,public,none,-3,0,0,0,0.0
4,To the Lighthouse,Virginia Woolf,F,31,3,F,domestic,none,3,2,2,0,0.0
5,In Search of Lost Time,Marcel Proust,M,27,0,M,mixed,none,-2,0,0,0,0.0
6,Anna Karenina,Leo Tolstoy,M,26,2,mixed,mixed,some,0,0,5,5,0.06756756756756757
7,War and Peace,Leo Tolstoy,M,20,-2,mixed,public,high,-2,2,1,-1,-0.015625
8,Jane Eyre,Charlotte Brontë,F,21,3,F,domestic,some,3,0,6,6,0.11320754716981132
9,Pride and Prejudice,Jane Austen,F,20,3,F,domestic,none,3,0,0,0,0.0
10,Madame Bovary,Gustave Flaubert,M,19,2,F,mixed,none,2,0,3,3,0.045454545454545456
11,The Great Gatsby,F Scott Fitzgerald,M,20,-1,M,public,some,-3,4,0,-4,-0.08163265306122448
12,Bleak House,Charles Dickens,M,19,0,mixed,mixed,some,0,0,0,0,0.0
13,Emma,Jane Austen,F,18,3,F,domestic,none,3,0,0,0,0.0
14,Mrs Dalloway,Virginia Woolf,F,18,2,F,mixed,some,2,2,4,2,0.030303030303030304
15,Moby-Dick,Herman Melville,M,18,-3,M,public,high,-4,4,0,-4,-0.05714285714285714
16,Nineteen Eighty-Four,George Orwell,M,19,-2,M,public,high,-4,2,0,-2,-0.028985507246376812
17,One Hundred Years of Solitude,Gabriel García Márquez,M,18,0,mixed,mixed,some,0,3,1,-2,-0.020833333333333332
18,Persuasion,Jane Austen,F,17,3,F,domestic,none,3,0,2,2,0.02702702702702703
19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,M,17,-1,M,mixed,none,-2,0,0,0,0.0
20,Wuthering Heights,Emily Brontë,F,15,1,mixed,domestic,some,1,0,0,0,0.0
21,The Portrait of a Lady,Henry James,M,16,2,F,domestic,none,3,0,3,3,0.04918032786885246
22,Things Fall Apart,Chinua Achebe,M,14,-2,M,public,high,-4,2,0,-2,-0.03125
23,Midnight's Children,Salman Rushdie,M,13,-1,M,public,some,-3,0,0,0,0.0
