rank,title,author,author_gender,votes,n_M,n_F,n_NB,n_unknown,pct_M_voters,pct_F_voters,handcoded_score
1,Middlemarch,George Eliot,F,56,22,34,0,0,39.3,60.7,1
2,Beloved,Toni Morrison,F,43,6,37,0,0,14.0,86.0,2
3,Ulysses,James Joyce,M,36,21,15,0,0,58.3,41.7,-1
4,To the Lighthouse,Virginia Woolf,F,31,9,22,0,0,29.0,71.0,3
5,In Search of Lost Time,Marcel Proust,M,27,15,12,0,0,55.6,44.4,0
6,Anna Karenina,Leo Tolstoy,M,26,6,20,0,0,23.1,76.9,2
7,War and Peace,Leo Tolstoy,M,20,11,9,0,0,55.0,45.0,-2
8,Jane Eyre,Charlotte Brontë,F,21,2,19,0,0,9.5,90.5,3
9,Pride and Prejudice,Jane Austen,F,20,7,13,0,0,35.0,65.0,3
10,Madame Bovary,Gustave Flaubert,M,19,9,10,0,0,47.4,52.6,2
11,The Great Gatsby,F Scott Fitzgerald,M,20,7,13,0,0,35.0,65.0,-1
12,Bleak House,Charles Dickens,M,19,8,11,0,0,42.1,57.9,0
13,Emma,Jane Austen,F,18,5,13,0,0,27.8,72.2,3
14,Mrs Dalloway,Virginia Woolf,F,18,4,14,0,0,22.2,77.8,2
15,Moby-Dick,Herman Melville,M,18,10,8,0,0,55.6,44.4,-3
16,Nineteen Eighty-Four,George Orwell,M,19,6,13,0,0,31.6,68.4,-2
17,One Hundred Years of Solitude,Gabriel García Márquez,M,18,10,8,0,0,55.6,44.4,0
18,Persuasion,Jane Austen,F,17,2,15,0,0,11.8,88.2,3
19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,M,17,10,7,0,0,58.8,41.2,-1
20,Wuthering Heights,Emily Brontë,F,15,3,12,0,0,20.0,80.0,1
21,The Portrait of a Lady,Henry James,M,16,8,8,0,0,50.0,50.0,2
22,Things Fall Apart,Chinua Achebe,M,14,6,8,0,0,42.9,57.1,-2
23,Midnight's Children,Salman Rushdie,M,13,4,9,0,0,30.8,69.2,-1
24,The Remains of the Day,Kazuo Ishiguro,M,13,5,8,0,0,38.5,61.5,-1
25,Lolita,Vladimir Nabokov,M,13,4,8,1,0,30.8,61.5,-1
26,Don Quixote,Miguel de Cervantes,M,11,7,4,0,0,63.6,36.4,-2
27,The Trial,Franz Kafka,M,11,9,2,0,0,81.8,18.2,-1
28,The Brothers Karamazov,Fyodor Dostoevsky,M,10,7,3,0,0,70.0,30.0,-2
29,Pale Fire,Vladimir Nabokov,M,10,6,4,0,0,60.0,40.0,-1
30,Frankenstein,Mary Shelley,F,10,2,7,1,0,20.0,70.0,-1
31,The Prime of Miss Jean Brodie,Muriel Spark,F,10,4,6,0,0,40.0,60.0,3
32,The God of Small Things,Arundhati Roy,F,10,2,8,0,0,20.0,80.0,2
33,David Copperfield,Charles Dickens,M,10,2,8,0,0,20.0,80.0,-1
