voter,voter_gender,ballots,n_to_F_author,pct_to_F_author
Sarah Moss,F,5,5,100.0
Lauren Elkin,F,3,3,100.0
Imogen Russell Williams,F,3,3,100.0
Yael van der Wouden,F,3,3,100.0
Fiona Sturges,F,5,5,100.0
Bernardine Evaristo,F,3,3,100.0
Samantha Ellis,F,4,4,100.0
Joanne Harris,F,1,1,100.0
Nikesh Shukla,M,1,1,100.0
Lisa Allardice,F,9,8,88.88888888888889
Katherine Rundell,F,6,5,83.33333333333333
Saba Sams,F,6,5,83.33333333333333
Charlotte Northedge,F,10,8,80.0
Ella Creamer,F,5,4,80.0
Lily King,F,9,7,77.77777777777777
Emma Loffhagen,F,9,7,77.77777777777777
Lorrie Moore,F,4,3,75.0
Nadifa Mohamed,F,4,3,75.0
Ali Smith,F,4,3,75.0
Kate Mosse,F,4,3,75.0
Natasha Walter,F,7,5,71.42857142857143
Doireann Ní Ghríofa,F,7,5,71.42857142857143
Sandra Newman,F,6,4,66.66666666666667
Esi Edugyan,F,6,4,66.66666666666667
Yiyun Li,F,9,6,66.66666666666667
Jennifer Egan,F,6,4,66.66666666666667
Tom Crewe,M,3,2,66.66666666666667
Katharine Viner,F,6,4,66.66666666666667
Uzma Aslam Khan,F,3,2,66.66666666666667
Arifa Akbar,F,6,4,66.66666666666667
Damian Barr,M,6,4,66.66666666666667
Daisy Johnson,F,3,2,66.66666666666667
Hermione Lee,F,3,2,66.66666666666667
Fiona Sampson,F,3,2,66.66666666666667
Jack Edwards,M,6,4,66.66666666666667
Siri Hustvedt,F,8,5,62.5
Susanna Rustin,F,8,5,62.5
Liese Spencer,F,8,5,62.5
Melissa Broder,F,5,3,60.0
Ben Markovits,M,5,3,60.0
Sophie Mackintosh,F,5,3,60.0
Sinéad Gleeson,F,5,3,60.0
Michael Chabon,M,5,3,60.0
Beejay Silcox,F,5,3,60.0
Kathryn Hughes,F,7,4,57.142857142857146
Dinah Birch,F,7,4,57.142857142857146
Aida Edemariam,F,7,4,57.142857142857146
Jude Cook,M,7,4,57.142857142857146
Yagnishsing Dawoor,M,7,4,57.142857142857146
